State,Total Population
.Alabama,"4,863,300"
.Arizona,"6,931,071"
.Arkansas,"2,988,248"
.California,"39,250,017"
.Colorado,"5,540,545"
.Connecticut,"3,576,452"
.Florida,"20,612,439"
.Georgia,"10,310,371"
.Hawaii,"1,428,557"
.Idaho,"1,683,140"
.Illinois,"12,801,539"
.Indiana,"6,633,053"
.Iowa,"3,134,693"
.Kansas,"2,907,289"
.Kentucky,"4,436,974"
.Louisiana,"4,681,666"
.Maine,"1,331,479"
.Maryland,"6,016,447"
.Massachusetts,"6,811,779"
.Michigan,"9,928,300"
.Minnesota,"5,519,952"
.Mississippi,"2,988,726"
.Missouri,"6,093,000"
.Montana,"1,042,520"
.Nebraska,"1,907,116"
.Nevada,"2,940,058"
.New Hampshire,"1,334,795"
.New Jersey,"8,944,469"
.New Mexico,"2,081,015"
.New York,"19,745,289"
.North Carolina,"10,146,788"
.North Dakota,"757,952"
.Ohio,"11,614,373"
.Oklahoma,"3,923,561"
.Oregon,"4,093,465"
.Pennsylvania,"12,784,227"
.Rhode Island,"1,056,426"
.South Carolina,"4,961,119"
.South Dakota,"865,454"
.Tennessee,"6,651,194"
.Texas,"27,862,596"
.Utah,"3,051,217"
.Vermont,"624,594"
.Virginia,"8,411,808"
.Washington,"7,288,000"
.West Virginia,"1,831,102"
.Wisconsin,"5,778,708"
.Wyoming,"585,501"